game,step,done,state,action,next_state,reward
0,0,False,0,3,0,-1
0,1,False,0,2,4,1
0,2,False,4,0,4,-1
0,3,False,4,2,8,1
0,4,False,8,0,8,-1
0,5,True,8,1,9,-5
1,0,False,0,2,4,1
1,1,False,4,2,8,1
1,2,False,8,2,12,1
1,3,False,12,3,12,-4
1,4,False,12,0,8,-1
1,5,False,8,2,8,-1
1,6,False,8,3,8,-1
1,7,False,8,2,12,-1
1,8,False,12,2,12,-1
1,9,False,12,1,13,1
1,10,True,13,0,9,-5
2,0,False,0,2,4,1
2,1,False,4,2,8,1
2,2,False,8,0,8,-1
2,3,False,8,3,8,-1
2,4,False,8,2,12,1
2,5,False,12,1,13,1
2,6,False,13,2,13,-4
2,7,False,13,1,14,1
2,8,True,14,1,15,100
