key,state,action,q_value
1,0,0,76.76880389175146
1,0,1,80.91521151269207
1,0,2,-4.999999999999998
1,0,3,76.67352099985922
1,1,0,77.2645679727021
1,1,1,-4.999999999999998
1,1,2,82.9289836196771
1,1,3,78.609280833665
1,2,0,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,3,0,76.66272219009839
1,3,1,68.66352964043567
1,3,2,84.60999116227265
1,3,3,-4.999942830943636
1,4,0,50.40347461210806
1,4,1,-4.507614548908195
1,4,2,-4.951511313510624
1,4,3,73.6312256065126
1,5,0,0.0
1,5,1,0.0
1,5,2,0.0
1,5,3,0.0
1,6,0,0.0
1,6,1,0.0
1,6,2,0.0
1,6,3,0.0
1,7,0,81.0992436136247
1,7,1,84.9193381626145
1,7,2,72.2743492776748
1,7,3,-4.999999999999998
1,8,0,-4.999999999999998
1,8,1,88.47369202023843
1,8,2,-4.999999999999998
1,8,3,83.14721940781267
1,9,0,82.18112418683353
1,9,1,-4.999999999999998
1,9,2,91.26970737392136
1,9,3,84.89987875348207
1,10,0,0.0
1,10,1,0.0
1,10,2,0.0
1,10,3,0.0
1,11,0,-4.926095585292827
1,11,1,65.04130660423819
1,11,2,90.48804217032595
1,11,3,-4.788044208623918
1,12,0,0.0
1,12,1,0.0
1,12,2,0.0
1,12,3,0.0
1,13,0,74.28177542112915
1,13,1,-4.999999999988072
1,13,2,66.0280759304979
1,13,3,-4.999999999999983
1,14,0,0.0
1,14,1,0.0
1,14,2,0.0
1,14,3,0.0
1,15,0,88.87977895260629
1,15,1,93.70133503211319
1,15,2,82.89333597966738
1,15,3,-4.99999999999821
1,16,0,-4.999996306260454
1,16,1,96.24850023498038
1,16,2,-4.9999999764978975
1,16,3,91.44496846334862
1,17,0,89.02930415086956
1,17,1,92.83738436704927
1,17,2,99.99999999999997
1,17,3,93.74492629307922
1,18,0,-4.997944508416472
1,18,1,49.78780859628691
1,18,2,20.4226918966922
1,18,3,27.661661421481334
1,19,0,66.69050271958733
1,19,1,-4.999942830943636
1,19,2,57.87573118637821
1,19,3,46.055062871834224
1,20,0,0.0
1,20,1,0.0
1,20,2,0.0
1,20,3,0.0
1,21,0,85.16547508981148
1,21,1,-4.998335051817342
1,21,2,77.93058878267506
1,21,3,-4.992722108285347
1,22,0,0.0
1,22,1,0.0
1,22,2,0.0
1,22,3,0.0
1,23,0,0.0
1,23,1,0.0
1,23,2,0.0
1,23,3,0.0
